customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,NEW_Engaged,NEW_noProt,NEW_Young_Not_Engaged,NEW_TotalServices,NEW_FLAG_ANY_STREAMING,NEW_FLAG_AutoPayment,NEW_AVG_Charges,NEW_Increase,NEW_AVG_Service_Fee,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,NEW_TENURE_YEAR_1-2 Year,NEW_TENURE_YEAR_2-3 Year,NEW_TENURE_YEAR_3-4 Year,NEW_TENURE_YEAR_4-5 Year,NEW_TENURE_YEAR_5-6 Year
7590-VHVEG,0,0,1,0,-1.2774445836787656,0,1,-1.1603229160349193,-0.9926105235902257,0,0,1,1,1,0,0,-1.4411146220652715,-2.5842152492016757,-0.31120514614838746,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5575-GNVDE,1,0,0,0,0.06632741908223598,1,0,-0.2596289419448806,-0.17216470898960817,0,1,1,0,3,0,0,-0.1636844802879181,0.3290784030449611,-0.4103958555551048,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
3668-QPYBK,1,0,0,0,-1.2367242199587352,1,1,-0.3626603559551803,-0.9580659010627455,1,0,1,1,3,0,0,-0.7502488189553651,-1.4821621056903391,-0.5222108370681318,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7795-CFOCW,1,0,0,0,0.5142514200025698,0,0,-0.7465354629935549,-0.1936723762720431,0,1,1,0,3,0,1,-0.6205359650552856,0.3164782452717865,-0.938811816576345,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
9237-HQITU,0,0,0,0,-1.2367242199587352,1,1,0.19736523310080326,-0.9388744441030343,1,0,1,1,1,0,0,-0.2760450724420566,-1.1859822538682794,2.635660656952999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9305-CDSKC,0,0,0,0,-0.9924020376385531,1,1,1.1595456961969886,-0.6437892489880273,1,0,1,1,4,1,0,1.0522704795728086,0.11393450306900649,0.4109032183325151,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
1452-KIOVK,1,0,0,1,-0.4223169455581282,1,1,0.8089065291619363,-0.14573785216462656,0,0,1,1,3,1,1,0.8426349802396388,0.3505554345017228,0.7492337107816092,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
6713-OKOMC,0,0,0,0,-0.9109613101984924,0,0,-1.1636465100352518,-0.8725867105812734,0,0,1,1,1,0,0,-1.0316493494098147,0.16380155496413637,-0.31841901592342153,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7892-POOKP,0,0,1,0,-0.1779947632379461,1,1,1.330710787214099,0.33808539553347106,1,0,1,1,5,1,0,1.505855854705812,0.6822547582681556,0.055499900749173506,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0
6388-TABGU,1,0,0,1,1.2064976032430856,1,0,-0.28621769394753876,0.5330441272690194,0,1,1,0,3,0,1,-0.1186000846834509,0.5765903058540687,-0.43925133465524097,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
9763-GRSKD,1,0,1,1,-0.7888002190384014,1,1,-0.4922805219681379,-0.7466069281710316,0,0,1,1,2,0,0,-0.5569465528274032,-0.37262995105362945,-0.062326638909714495,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
7469-LKBCI,1,0,0,0,-0.6666391278783103,1,0,-1.5225946620711341,-0.8616012559077836,0,1,1,0,1,0,1,-1.3005367771303424,0.7614714068224129,-1.0975169516270928,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0
8091-TTVAX,1,0,1,0,1.0436161483629645,1,0,1.182810854199314,1.5006244452274227,0,1,1,0,4,1,1,1.2198169270063828,0.4044592097280906,0.43110205370261034,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0
0280-XJGEX,1,0,0,0,0.6771328748826912,1,1,1.2941512532104444,1.2161496993050833,1,0,1,1,5,1,1,1.3648961127339272,0.48107971648248143,0.02904904490738268,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
5129-JLPIS,1,0,0,0,-0.30015585439803716,1,1,1.3539759452164248,0.17925954483241316,0,0,1,1,6,1,0,1.4493899123845508,0.5325685236051106,-0.29007881323578805,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0
